,Season,playerName,PlayerID,Position,Mins,Passes Completed,Passes Attempted,Pass Completion Rate,Forward Passes,Long Passes,xT via Pass,npxG,xA,Shots,Tackles,Interceptions,Fouls,Aerials,Recoveries,Ball Wins,Touches,Box Touches,Final 1/3 Touches,Progressive Passes,Progressive Carries,Box Passes,Box Carries,Successful Take Ons,xT Carry,xT Received
0,2022/23,Aaron Cresswell,68049,Center Back,283,211.0,256.0,0.82421875,143.0,10.0,0.56918775,0.082654655,0.260724,2.0,1.0,5.0,2.0,7.0,11.0,2.0,284.0,1.0,81.0,27.0,6.0,6.0,1.0,1.0,0.13065704,0.14166707
1,2022/23,Aaron Cresswell,68049,Full Back,2064,916.0,1189.0,0.7703952901597981,515.0,54.0,4.34451391,0.23870511,2.9862843,7.0,20.0,22.0,16.0,21.0,109.0,26.0,1358.0,12.0,365.0,146.0,16.0,52.0,1.0,1.0,0.45387294,1.1215450399999998
2,2022/23,Aaron Hickey,402367,Full Back,2029,695.0,836.0,0.8313397129186603,339.0,27.0,1.76787138,0.38580596,0.39352548,11.0,38.0,17.0,55.0,14.0,111.0,30.0,1098.0,21.0,219.0,42.0,24.0,14.0,6.0,17.0,0.5369793500000001,0.82204108
3,2022/23,Aaron Ramsdale,316858,Goalkeeper,3624,761.0,1109.0,0.6862037871956718,737.0,138.0,1.3818287800000002,0.0,0.0,0.0,1.0,0.0,4.0,6.0,33.0,1.0,1276.0,0.0,0.0,106.0,0.0,2.0,0.0,1.0,0.09685924,0.14166856
4,2022/23,Aaron Wan-Bissaka,331924,Full Back,1509,706.0,838.0,0.8424821002386634,372.0,17.0,1.5766885300000004,0.97575194,1.1351675,10.0,40.0,22.0,13.0,13.0,73.0,34.0,1068.0,46.0,297.0,35.0,24.0,17.0,7.0,17.0,0.66420878,1.5985710599999998
5,2022/23,Abdoulaye Doucouré,116317,Attacking Mid/Winger,339,95.0,111.0,0.8558558558558559,37.0,0.0,0.11373532,1.0713346,0.32887363,5.0,9.0,2.0,4.0,3.0,17.0,9.0,155.0,11.0,41.0,0.0,3.0,4.0,1.0,3.0,0.07181525,0.54421976
6,2022/23,Abdoulaye Doucouré,116317,Center Back,9,0.0,0.0,,0.0,0.0,0.01654752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022/23,Abdoulaye Doucouré,116317,Center Mid,1324,335.0,435.0,0.7701149425287356,175.0,3.0,1.5171576299999998,1.9707278,1.8773637,15.0,22.0,11.0,21.0,10.0,83.0,29.0,606.0,43.0,222.0,20.0,10.0,18.0,11.0,16.0,0.5189327899999999,2.73792579
8,2022/23,Adam Armstrong,136460,Attacking Mid/Winger,897,134.0,197.0,0.6802030456852792,45.0,8.0,0.7824541200000004,1.2102405,1.124333,12.0,9.0,4.0,16.0,2.0,42.0,10.0,337.0,31.0,151.0,17.0,18.0,15.0,9.0,11.0,0.47124798,1.18309205
9,2022/23,Adam Armstrong,136460,Center Mid,34,1.0,2.0,0.5,1.0,0.0,0.0013679799999999,0.2145561,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071699999999999
10,2022/23,Adam Armstrong,136460,Forward,477,82.0,97.0,0.845360824742268,24.0,1.0,0.15235322,0.7783889,0.13766538,12.0,5.0,0.0,10.0,2.0,10.0,2.0,150.0,16.0,83.0,3.0,10.0,2.0,5.0,2.0,0.25391562,1.1249777
11,2022/23,Adam Armstrong,136460,Full Back,17,3.0,6.0,0.5,1.0,0.0,0.00377069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249957499999999
12,2022/23,Adam Forshaw,82972,Attacking Mid/Winger,115,21.0,30.0,0.7,9.0,0.0,0.2502448,0.0,0.08006291,0.0,2.0,0.0,2.0,0.0,5.0,1.0,41.0,0.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0051791199999999,0.0219206
13,2022/23,Adam Forshaw,82972,Center Mid,397,175.0,214.0,0.8177570093457944,111.0,14.0,0.8865115300000002,0.00788021,0.38785303,1.0,10.0,4.0,9.0,2.0,32.0,7.0,273.0,1.0,56.0,23.0,3.0,8.0,1.0,7.0,0.1124268199999999,0.18622143
14,2022/23,Adam Lallana,21683,Attacking Mid/Winger,668,234.0,280.0,0.8357142857142857,96.0,1.0,0.84533516,0.91876924,0.652579,7.0,7.0,2.0,9.0,6.0,21.0,4.0,352.0,31.0,139.0,14.0,9.0,15.0,5.0,3.0,0.2777386,1.63246496
15,2022/23,Adam Lallana,21683,Forward,75,24.0,27.0,0.8888888888888888,15.0,1.0,0.10662306,0.07411639,0.22610404,1.0,2.0,0.0,0.0,1.0,4.0,1.0,33.0,5.0,20.0,1.0,0.0,3.0,0.0,0.0,0.00551751,0.2854089799999999
16,2022/23,Adam Lallana,21683,Full Back,17,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.00695621,0.01106675
17,2022/23,Adam Smith,69877,Attacking Mid/Winger,94,36.0,45.0,0.8,20.0,0.0,0.25305415,0.0,0.099794954,0.0,2.0,1.0,1.0,1.0,6.0,1.0,52.0,0.0,14.0,5.0,0.0,2.0,0.0,1.0,0.02538928,0.04171872
18,2022/23,Adam Smith,69877,Center Back,286,125.0,144.0,0.8680555555555556,68.0,7.0,0.8085665,0.0,0.3893247,0.0,3.0,1.0,8.0,2.0,13.0,2.0,170.0,3.0,37.0,13.0,0.0,4.0,0.0,0.0,0.0228467,0.1085603899999999
19,2022/23,Adam Smith,69877,Full Back,2720,792.0,1074.0,0.7374301675977654,433.0,54.0,2.6899541300000003,0.66736376,0.8963007,5.0,44.0,23.0,47.0,26.0,109.0,38.0,1355.0,14.0,247.0,111.0,10.0,27.0,2.0,5.0,0.3354218000000001,1.0022330200000005
20,2022/23,Adam Webster,109922,Attacking Mid/Winger,9,10.0,10.0,1.0,5.0,2.0,0.02770574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0025224899999999,0.0022569599999999
21,2022/23,Adam Webster,109922,Center Back,2093,1504.0,1703.0,0.8831473869641808,1000.0,81.0,2.67852004,1.6766288,0.26825762,18.0,22.0,19.0,16.0,60.0,143.0,25.0,1898.0,27.0,108.0,124.0,24.0,6.0,5.0,3.0,0.6992285700000003,3.027315410000001
22,2022/23,Adama Traoré,140088,Attacking Mid/Winger,1263,268.0,402.0,0.6666666666666666,100.0,6.0,2.7656866199999994,1.2447336,2.732853,15.0,13.0,0.0,42.0,25.0,52.0,7.0,688.0,49.0,355.0,38.0,68.0,30.0,24.0,44.0,1.60692514,2.89627779
23,2022/23,Adama Traoré,140088,Center Mid,100,13.0,24.0,0.5416666666666666,5.0,0.0,0.09211382,0.08261868,0.05096254,2.0,0.0,1.0,5.0,5.0,4.0,1.0,39.0,5.0,27.0,2.0,2.0,1.0,3.0,1.0,0.0573565399999999,0.4127697899999999
24,2022/23,Adama Traoré,140088,Forward,202,38.0,58.0,0.6551724137931034,19.0,2.0,0.3829166199999999,0.08471648,0.123658784,2.0,1.0,2.0,8.0,9.0,8.0,2.0,102.0,6.0,51.0,2.0,7.0,3.0,5.0,9.0,0.22800861,0.39902325
